date,volume
2015/1/1,3023
2015/1/2,3039
2015/1/3,3056
2015/1/4,3138
2015/1/5,3188
2015/1/6,3224
2015/1/7,3226
2015/1/8,3029
2015/1/9,2859
2015/1/10,2870
2015/1/11,2910
2015/1/12,3012
2015/1/13,3142
2015/1/14,3252
2015/1/15,3342
2015/1/16,3365
2015/1/17,3339
2015/1/18,3345
2015/1/19,3421
2015/1/20,3443
2015/1/21,3428
2015/1/22,3554
2015/1/23,3615
2015/1/24,3646
2015/1/25,3614
2015/1/26,3574
2015/1/27,3635
2015/1/28,3738
2015/1/29,3707
2015/1/30,3827
2015/1/31,4039
2015/2/1,4210
2015/2/2,4493
2015/2/3,4560
2015/2/4,4637
2015/2/5,4755
2015/2/6,4817
